*******************************************************************************
 Revised: July 31, 2013                 Venus                           299 / 2
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Vol. Mean Radius (km) =  6051.84+-0.01 Density (g/cm^3)      =  5.204
  Mass x10^23 (kg)      =    48.685      Volume (x10^10 km^3)  = 92.843
  Sidereal rot. period  =   243.022498 d Sid. Rot. Rate (rad/s)= -0.00000029924
  Mean solar day        =   116.7490 d   Equ. gravity  m/s^2   =  8.870
  Mom. of Inertia       =     0.33       Core radius (km)      = ~3200
  Geometric Albedo      =     0.65       Potential Love # k2   = ~0.25
  GM (km^3/s^2)         = 324858.592     Equatorial Radius, Re = 6051.893 km
  GM 1-sigma (km^3/s^2) =    +-0.006     Mass ratio (Sun/Venus)= 408523.72
  Atmos. pressure (bar) =  90            Max. angular diam.    =   60.2"
  Mean Temperature (K)  = 735            Visual mag. V(1,0)    =   -4.40
  Obliquity to orbit    = 177.3 deg      Hill's sphere rad.,Rp =  167.1
  Sidereal orb. per., y =   0.61519726   Orbit speed, km/s     =   35.021
  Sidereal orb. per., d = 224.70079922   Escape speed, km/s    =   10.361
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         2759        2650        2614
  Maximum Planetary IR (W/m^2)    153         153         153
  Minimum Planetary IR (W/m^2)    153         153         153
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Nov  2 19:14:01 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2035-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000,  1.076209595805564E+08,  8.974122818036491E+06, -6.131976661929069E+06, -2.693485084259549E+00,  3.476650462014290E+01,  6.320912271467272E-01,  3.608110095185104E+02,  1.081684194170156E+08,  1.686949340328681E-01,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000,  1.073464827309924E+08,  1.197452472477628E+07, -6.075001111653576E+06, -3.659811316317528E+00,  3.468276456248997E+01,  6.867065011695246E-01,  3.608596566183890E+02,  1.081830034506628E+08,  1.688805650668419E-01,
2458851.500000000, A.D. 2020-Jan-03 00:00:00.0000,  1.069886126138797E+08,  1.496653127942356E+07, -6.013328337655190E+06, -4.623761562745974E+00,  3.457217604336508E+01,  7.408162599075219E-01,  3.609083417591750E+02,  1.081975988886871E+08,  1.689589073533425E-01,
2458852.500000000, A.D. 2020-Jan-04 00:00:00.0000,  1.065475864482045E+08,  1.794782521033083E+07, -5.947003825845857E+06, -5.584596727633587E+00,  3.443479879556590E+01,  7.943786718938064E-01,  3.609570340085277E+02,  1.082121964578061E+08,  1.689298888414397E-01,
2458853.500000000, A.D. 2020-Jan-05 00:00:00.0000,  1.060237052738755E+08,  2.091609527739168E+07, -5.876076662296726E+06, -6.541578659474712E+00,  3.427071270982034E+01,  8.473522367598054E-01,  3.610057024217992E+02,  1.082267868810477E+08,  1.687934962128127E-01,
2458854.500000000, A.D. 2020-Jan-06 00:00:00.0000,  1.054173338470719E+08,  2.386903801466674E+07, -5.800599503287381E+06, -7.493970685438393E+00,  3.408001785527616E+01,  8.996958163474389E-01,  3.610543160589954E+02,  1.082413608828351E+08,  1.685497751216596E-01,
2458855.500000000, A.D. 2020-Jan-07 00:00:00.0000,  1.047289004892825E+08,  2.680435947420266E+07, -5.720628542666300E+06, -8.441038149029646E+00,  3.386283448658659E+01,  9.513686658331206E-01,  3.611028440018060E+02,  1.082559091940920E+08,  1.681988304298556E-01,
2458856.500000000, A.D. 2020-Jan-08 00:00:00.0000,  1.039588968897547E+08,  2.971977696987502E+07, -5.636223476522425E+06, -9.382048950857302E+00,  3.361930303733577E+01,  1.002330464843627E+00,  3.611512553707011E+02,  1.082704225573682E+08,  1.677408264352813E-01,
